EMP. CODE,GENDER,MARITAL STATUS,DATE OF BIRTH,AGE,EXPERIENCE others,Experience IN ATAEIL,Total Experience,DATE_OF JOINING,GRADE,DEPARTMENT,DVISION,JOINING CTC,CURRENT CTC, WORKING STATUS,Satisfaction Level,Employer Appreciation,Job Involvement,Distance From Home,Number of Companies Worked,Percent Salary Hike,Training Times Last Year (In Hrs),Year Since Last Promotion,Average monthly hours
1,1,2,19581,64,20,11.13,31.13,38905,6,5,6,29451,88644,1,4,4,4,5,0,5,0,2,200
5,2,1,28186,41,2.5,10.61,13.11,39097,5,12,4,"12,000",75167,1,3.6,4.4,4,10,1,39,6,0,223.3125
6,2,2,24806,50,15.1,10.25,25.35,39226,4,14,4,17500,52794,1,3.4,4.2,4.666666667,11,5,13,6,0,209.25
8,1,2,28377,40,8,14.65,22.65,37623,2,5,11,6800,28369,1,4,4.2,3.8,22,3,14,0,0,207.5625
9,1,2,25364,48,6,12.07,18.07,38565,1,3,4,6651,27218,1,4,4.2,3.8,10,3,17,0,12,219.375
12,1,2,24956,49,7,10.4,17.4,39173,1,5,11,3500,13362,1,3.9,4.1,3.8,12,3,23,0,1,213.75
13,2,2,27317,43,7,9.05,16.05,39664,2,28,1,,29328,1,3.8,4.2,4,8,0,26,12,2,206.4375
16,2,2,28116,41,2.2,11.04,13.24,38941,2,28,9,5000,29217,1,3.2,3,4.333333333,8,2,21,0,1,194.625
17,1,2,27317,43,1,12.72,13.72,38327,1,28,9,3000,26208,1,4.1,4.2,3.9,22,1,18,0,2,210.375
19,1,2,26622,45,6.2,15.61,21.81,37270,4,28,7,9238,86667,1,4.5,4,4.3,5,2,30,0,2,221.625
24,2,2,27240,43,6,16.52,22.52,36941,2,28,5,3500,37428,1,3.8,2.6,4,8,4,19,4,2,217.6875
26,1,2,26085,46,0,19.47,19.47,35863,1,29,11,2000,21889,1,4.5,4.2,4.3,20,0,20,0,3,198.5625
65,1,2,28550,40,0,10.81,10.81,39025,4,28,9,18076,118798,1,3.8,4.1,4,12,0,14,0,1,208.125
94,2,1,27645,42,0,8.81,8.81,39753,2,1,4,0,25104,1,3.9,4,3.6,7,1,10,4,2,200
96,1,2,31419,32,3.11,7.98,11.09,40057,2,11,5,7500,18226,2,3,4,4,8,2,10,4,2,200
99,1,1,31135,32,2.4,7.95,10.35,40067,1,30,11,6001,15105,1,4,3.6,3.9,15,0,13,0,0,213.1875
